Client Name,Plan Number,Fee Type,Gross Amount,Payment Date,Platform
"Diana Lockwood","FI-10017","Ongoing Adviser Charge",700.43,2026-04-23,"Fidelity"
"Andrew Fowler","TR-10026","Initial Adviser Charge",930.42,2026-04-25,"Transact"
"Oliver Dixon","FI-10047","Initial Adviser Charge",502.28,2026-04-25,"Fidelity"
"Victoria Stanton","FI-10007","Initial Adviser Charge",743.27,2026-04-23,"Fidelity"
"Helen Ingram","AJ-10013","Adviser Charge - Annual Review",243.72,2026-04-22,"AJ Bell"
"Benjamin Thornton","QU-10050","Trail Commission",262.3,2026-04-24,"Quilter"
"Frederick Lowe","QU-10030","Ongoing Adviser Charge",954.14,2026-04-23,"Quilter"
"Andrew Newcombe","FI-10042","Trail Commission",756.57,2026-04-25,"Fidelity"
"Alexandra Forsythe","AJ-10018","Adviser Charge - Annual Review",129.41,2026-04-21,"AJ Bell"
"Sarah Ward","FI-10057","Initial Adviser Charge",772.43,2026-04-25,"Fidelity"
"Frances Pearson","AJ-10043","Adviser Charge - Annual Review",435.18,2026-04-24,"AJ Bell"
"P. Rothschild","FI-999006","Trail Commission",397.65,2026-04-24,"Quilter"
"Peter Fletcher","AE-10034","Ongoing Adviser Charge",208.1,2026-04-22,"Aegon"
"Penelope Hayward","QU-10060","Ongoing Adviser Charge",300.05,2026-04-23,"Quilter"
"Josephine Shepherd","FI-10032","Initial Adviser Charge",184.31,2026-04-22,"Fidelity"
"Simon Ashworth","AE-10029","Adviser Charge - Annual Review",978.1,2026-04-25,"Aegon"
"Mark Forsythe","TR-10041","Ongoing Adviser Charge",161.7,2026-04-25,"Transact"
"Nicholas Garside","AJ-10033","Ongoing Adviser Charge",738.8,2026-04-23,"AJ Bell"
"Helen Blackwood","QU-10005","Initial Adviser Charge",808.63,2026-04-21,"Quilter"
"Sophia Ashworth","AE-10059","Trail Commission",843.86,2026-04-23,"Aegon"
"Jonathan Dixon","QU-10000","Trail Commission",995.56,2026-04-21,"Quilter"
"Harriet Ashworth","AE-10014","Initial Adviser Charge",741.2,2026-04-21,"Aegon"
"Amanda Wentworth","TR-10001","Ongoing Adviser Charge",302.72,2026-04-21,"Transact"
"Josephine Drummond","AE-10049","Initial Adviser Charge",811.78,2026-04-24,"Aegon"
"Sarah Moorfield","FI-10027","Trail Commission",586.15,2026-04-23,"Fidelity"
"Alexander Ward","FI-10047","Adviser Charge - Annual Review",945.74,2026-04-21,"Fidelity"
"Harriet Holt","AE-10044","Adviser Charge - Annual Review",884.7,2026-04-24,"Aegon"
"Amanda Hughes","FI-10032","Adviser Charge - Annual Review",976.52,2026-04-21,"Fidelity"
"Robert Fletcher","QU-10055","Trail Commission",679.52,2026-04-21,"Quilter"
"Elizabeth Moorfield","TR-10011","Trail Commission",891.82,2026-04-24,"Transact"
"Edward Russell","TR-10031","Initial Adviser Charge",315.03,2026-04-21,"Transact"
"Sarah Sutton","TR-10031","Trail Commission",302.4,2026-04-23,"Transact"
"Charles Fowler","AJ-10003","Ongoing Adviser Charge",432.48,2026-04-23,"AJ Bell"
"T. Blackmore","QU-999001","Adviser Charge - Annual Review",185.34,2026-04-24,"Quilter"
"Christopher Stephenson","AE-10014","Initial Adviser Charge",218.57,2026-04-21,"Aegon"
"Sophia Ward","AJ-10008","Ongoing Adviser Charge",130.23,2026-04-22,"AJ Bell"
"Eleanor Holt","TR-10046","Initial Adviser Charge",956.28,2026-04-25,"Transact"
"James Tanner","FI-10027","Adviser Charge - Annual Review",816.64,2026-04-21,"Fidelity"
"R. Cavendish","TR-999005","Initial Adviser Charge",165.76,2026-04-24,"Quilter"
"Michael Holt","AE-10039","Trail Commission",667.78,2026-04-24,"Aegon"
"","QU-999004","Initial Adviser Charge",412.66,2026-04-25,"Quilter"
"Rosalind Whitmore","QU-10010","Adviser Charge - Annual Review",556.46,2026-04-23,"Quilter"
"Michael Chapman","FI-10002","Adviser Charge - Annual Review",903.08,2026-04-23,"Fidelity"
"Helen Tanner","QU-10040","Trail Commission",612.13,2026-04-22,"Quilter"
"David Barlow","AE-10049","Trail Commission",705.72,2026-04-23,"Aegon"
"Amanda Ashworth","AE-10054","Trail Commission",431.32,2026-04-23,"Aegon"
"Natalie Dixon","TR-10021","Ongoing Adviser Charge",923.83,2026-04-22,"Transact"
"Thomas Russell","QU-10025","Ongoing Adviser Charge",761.53,2026-04-23,"Quilter"
"Caroline Moorfield","AE-10009","Initial Adviser Charge",786.67,2026-04-24,"Aegon"
"Philip Griffiths","AJ-10048","Ongoing Adviser Charge",315.71,2026-04-23,"AJ Bell"
"Charles Hartley","AJ-10033","Initial Adviser Charge",833.71,2026-04-23,"AJ Bell"
"William Patel","QU-10015","Ongoing Adviser Charge",171.58,2026-04-23,"Quilter"
"Frederick Barker","TR-10021","Trail Commission",379.47,2026-04-23,"Transact"
"Frederick Fowler","AJ-10053","Trail Commission",955.47,2026-04-22,"AJ Bell"
"Frederick Holt","TR-10016","Ongoing Adviser Charge",804.18,2026-04-21,"Transact"
"Charles Forsythe","TR-10061","Trail Commission",895.8,2026-04-23,"Transact"
"Edward Whitfield","AJ-10018","Ongoing Adviser Charge",564.87,2026-04-23,"AJ Bell"
"Helen Stanton","FI-10012","Adviser Charge - Annual Review",151.58,2026-04-22,"Fidelity"
"Mark Shepherd","QU-10045","Trail Commission",562.23,2026-04-22,"Quilter"
"Rebecca Montgomery","TR-10056","Ongoing Adviser Charge",194.47,2026-04-25,"Transact"
"Elizabeth Barker","AE-10044","Adviser Charge - Annual Review",885.54,2026-04-23,"Aegon"
"Peter Hargreaves","AJ-10008","Adviser Charge - Annual Review",762.87,2026-04-22,"AJ Bell"
"Henry Montgomery","FI-10022","Initial Adviser Charge",472.33,2026-04-24,"Fidelity"
"Mark Forsythe","TR-10026","Initial Adviser Charge",317.73,2026-04-21,"Transact"
"Josephine Griffiths","AJ-10028","Ongoing Adviser Charge",889.76,2026-04-23,"AJ Bell"
"William Wentworth","QU-10025","Ongoing Adviser Charge",253.98,2026-04-24,"Quilter"
"Elizabeth Barlow","FI-10037","Initial Adviser Charge",513.06,2026-04-25,"Fidelity"
"Michael Ward","AE-10039","Trail Commission",567.6,2026-04-21,"Aegon"
"Sophia Stephenson","FI-10007","Initial Adviser Charge",379.85,2026-04-24,"Fidelity"
"William Lawson","AJ-10043","Adviser Charge - Annual Review",797.47,2026-04-24,"AJ Bell"
"Alexander Barker","QU-10045","Ongoing Adviser Charge",492.41,2026-04-25,"Quilter"
"Charlotte Hartley","TR-10041","Adviser Charge - Annual Review",428.69,2026-04-24,"Transact"
"Mark Sutton","AE-10034","Initial Adviser Charge",280.77,2026-04-24,"Aegon"
"Frances Russell","QU-10005","Adviser Charge - Annual Review",515.01,2026-04-25,"Quilter"
"Geoffrey Fernsby","AE-10019","Trail Commission",240.13,2026-04-21,"Aegon"
"Christopher Hartley","TR-10046","Ongoing Adviser Charge",850.84,2026-04-23,"Transact"
"Diana Fernsby","TR-10016","Initial Adviser Charge",240.9,2026-04-22,"Transact"
"Estate of J. Morrison","AJ-999007","Ongoing Adviser Charge",403.11,2026-04-25,"Quilter"
"Richard Chapman","QU-10000","Adviser Charge - Annual Review",1003.15,2026-04-21,"Quilter"
"Jonathan Lockwood","AJ-10038","Ongoing Adviser Charge",405.54,2026-04-21,"AJ Bell"
"Henderson Trust","QU-999003","Initial Adviser Charge",347.37,2026-04-23,"Quilter"
"Sarah Patel","FI-10037","Trail Commission",878.49,2026-04-25,"Fidelity"
"Jonathan Whitmore","AE-10024","Initial Adviser Charge",329.71,2026-04-21,"Aegon"
"Margaret Cartwright","QU-10030","Initial Adviser Charge",827.54,2026-04-22,"Quilter"
